"Character","Count"
"M","121793"
"A","369828"
"T","299201"
"Y","60958"
"P","126692"
"U","126138"
"N","265500"
"D","160356"
"Z","5240"
"H","116209"
"W","45126"
"O","255094"
"J","6391"
"L","200290"
"I","285363"
"B","82158"
" ","709"
"G","109162"
"R","319911"
" ","87541"
"K","39409"
"V","38991"
"X","11266"
"S","278789"
"F","50794"
"C","160073"
"Q","5370"
"E","425303"
"-","9255"
"’","575"
"‘","6"
"}","254"
"–","293"
"Ç","9"
"É","146"
"Ñ","8"
"'","69"
"Í","1"
"‑","56"
"?","19"
".","19"
"!","58"
"Ë","3"
",","29"
"*","52"
"È","23"
"Ã","1"
">","43"
"À","18"
"0","2"
"5","15"
"1","5"
"2","8"
"8","2"
"/","51"
"(","177"
")","175"
"Î","4"
"4","4"
"Â","5"
":","41"
"Ê","15"
"
","149"
"“","1"
"”","1"
"+","9"
"Ö","5"
"r","56"
"o","54"
"&","3"
";","2"
"l","3"
"t","2"
"]","44"
"[","42"
"Á","2"
"Ü","1"
"|","1"
"Ó","2"
"a","1"
"c","2"
"f","2"
"n","3"
"p","2"
"i","2"
"d","1"
"e","3"
"s","2"
"=","1"
"Û","2"
"`","1"
"3","2"
"9","2"
"7","2"
"6","13"
"h","1"
"m","2"
"u","2"
"g","1"
"j","1"
"Å","1"
"Ô","2"
"Ï","2"
"~","1"
