"Character","Count"
"Y","5213"
"—","18744"
"&","1018"
"U","15520"
"7","114480"
"w","240259"
"?","85633"
"­","353"
"a","612063"
"é","515"
"I","52124"
"÷","12"
".","10130"
"0","29881"
"R","41139"
"+","172"
"3","52122"
"v","190117"
"…","2945"
"c","434411"
"A","66655"
"P","54002"
"‘","8851"
"f","340714"
"_","207"
"N","25698"
"D","38066"
"Z","783"
"–","8072"
"n","608538"
"g","403750"
"G","32354"
" ","659996"
"p","357762"
"8","88048"
"K","8088"
"%","551"
"'","16076"
":","7737"
"6","121360"
"Q","5000"
"i","609687"
"d","470062"
"4","109476"
"9","60557"
"5","126862"
"T","51971"
"q","21145"
"!","15964"
";","1369"
"b","279035"
"O","33790"
"h","417574"
"j","21803"
"x","48069"
"L","33267"
"B","42706"
"m","357117"
"l","499385"
"k","186720"
" ","11879"
"e","643684"
"r","606942"
"t","610700"
"E","37996"
"(","631581"
"M","41582"
"’","81659"
"ê","36"
"u","433195"
"1","54542"
"2","33854"
"H","28957"
"W","32475"
"J","8329"
"o","611974"
",","205886"
")","631484"
"V","10373"
"z","13810"
"y","305324"
"S","96053"
"F","45464"
"C","65192"
"s","571347"
"-","43860"
"#","46"
"*","151"
"“","2821"
"X","408"
"ï","16"
"/","1514"
"”","2799"
"""","1152"
"―","1"
"′","4"
"ó","7"
"â","39"
"[","278"
"}","30"
"{","32"
"]","289"
"|","13"
"£","176"
"á","13"
"ñ","25"
"=","115"
"à","43"
"ç","33"
"è","57"
"ä","16"
"ö","25"
"É","13"
"ô","11"
"ü","21"
"″","5"
"$","87"
"ë","32"
"î","11"
"ă","1"
"ú","1"
"Â","4"
">","14"
"‑","19"
"×","7"
"<","6"
"​","1"
"Ö","3"
"@","13"
"ã","2"
"®","5"
"
","264"
"ù","3"
"¦","1"
"€","14"
"š","2"
"","7"
"","7"
"`","7"
"À","2"
"™","2"
"æ","1"
"œ","3"
"","17"
"¾","1"
"ð","2"
"¢","2"
"⅓","1"
"ė","1"
"́","2"
"~","5"
"¥","2"
"´","1"
"","1"
"°","4"
"Ü","1"
"^","1"
"û","1"
"","1"
"Ø","1"
"½","1"
"í","4"
" ","4"
"º","4"
"ā","1"
"⁰","1"
"\","1"
"ß","2"
"̈","1"
"ﬁ","1"
"🙂","22"
"ş","1"
"Ç","1"
"È","1"
"¼","1"
"·","1"
